instance_id,pred_x_interest,pred_prob_x_interest,MPD,total_cf,execution_time(s),AMPD,no(%),yes(%)
75,no,0.662491533263474,0.5899226944992769,1,42.16,0.5899226944992769,0,100
255,no,0.547916892686256,0.517735564409771,1,42.25,0.517735564409771,0,100
505,no,0.7848789603506791,0.70698985584136,1,43.0,0.70698985584136,0,100
565,no,0.13529587810697408,0.07,1,43.07,0.0690361467691476,0,100
573,no,0.12466301781212996,0.08,1,42.88,0.0829304278404173,0,100
587,no,0.399106915751141,0.36,1,42.47,0.359638280250279,0,100
1210,no,0.489981831264958,0.42,1,43.57,0.42008716621220393,0,100
1531,no,0.021410185336880994,0.01,1,42.58,0.007912361073372341,0,100
2409,no,0.027497894388309962,0.01,1,42.89,0.0114233670222015,0,100
2581,no,0.005009389737850034,0.0,1,44.34,0.0010512480217810302,0,100
